ToolName;ModelName;Strength;TimeSeconds;Size;ErrorType;;;;
acts;MCAC_36;2;1.08;1599;;;;;
acts;UNIFORM_ALL_41;2;0.35;24;;;;;
acts;BOOLC_3;2;0.64;8;;;;;
acts;MCAC_31;2;300.3;0;Timeout;;;;
acts;UNIFORM_ALL_13;2;0.31;48;;;;;
acts;UNIFORM_ALL_46;2;0.33;12;;;;;
acts;NUMC_31;2;0.74;315;;;;;
acts;BOOLC_8;2;0.67;8;;;;;
acts;NUMC_36;2;2.73;12129;;;;;
acts;UNIFORM_BOOLEAN_29;2;0.29;4;;;;;
acts;UNIFORM_ALL_25;2;0.3;15;;;;;
acts;UNIFORM_ALL_22;2;0.51;361;;;;;
acts;BOOLC_45;2;0.81;11;;;;;
acts;BOOLC_10;2;0.68;8;;;;;
acts;NUMC_23;2;0.84;1595;;;;;
acts;UNIFORM_ALL_28;2;0.4;164;;;;;
acts;NUMC_28;2;1.15;3076;;;;;
acts;BOOLC_42;2;1.03;6;;;;;
acts;BOOLC_17;2;0.93;10;;;;;
acts;NUMC_24;2;1.14;10670;;;;;
acts;NUMC_0;2;300.14;0;Timeout;;;;
acts;MCAC_19;2;0.93;345;;;;;
acts;UNIFORM_ALL_37;2;0.33;225;;;;;
acts;NUMC_7;2;4.9;24;;;;;
acts;UNIFORM_ALL_30;2;0.35;121;;;;;
acts;MCA_2;2;0.28;94;;;;;
acts;NUMC_26;2;0.79;126;;;;;
acts;MCA_28;2;0.42;1300;;;;;
acts;MCA_5;2;0.67;2028;;;;;
acts;NUMC_21;2;1.21;6;;;;;
acts;MCA_18;2;0.25;46;;;;;
acts;NUMC_9;2;1.02;3939;;;;;
acts;MCA_39;2;0.32;222;;;;;
acts;NUMC_34;2;0.83;65;;;;;
acts;MCAC_0;2;32.48;837;;;;;
acts;MCAC_4;2;0.97;1365;;;;;
acts;NUMC_33;2;1.4;6623;;;;;
acts;MCAC_7;2;0.62;46;;;;;
acts;MCA_49;2;0.53;1104;;;;;
acts;MCAC_3;2;0.58;98;;;;;
acts;NUMC_16;2;0.69;76;;;;;
acts;NUMC_43;2;0.75;9;;;;;
acts;MCA_4;2;0.58;1601;;;;;
acts;NUMC_11;2;4.51;80;;;;;
acts;NUMC_44;2;0.99;624;;;;;
acts;MCA_3;2;0.58;2108;;;;;
acts;NUMC_8;2;0.59;32;;;;;
acts;MCA_29;2;0.69;1935;;;;;
acts;MCAC_2;2;1.17;1671;;;;;
acts;NUMC_27;2;28.58;2337;;;;;
acts;MCAC_5;2;204.95;2169;;;;;
acts;NUMC_20;2;1.98;6713;;;;;
acts;NUMC_42;2;3.38;28676;;;;;
acts;NUMC_17;2;3.99;2778;;;;;
acts;MCAC_1;2;1.03;24;;;;;
acts;MCA_38;2;0.55;2102;;;;;
acts;MCA_19;2;0.57;1813;;;;;
acts;NUMC_45;2;0.64;20;;;;;
acts;NUMC_10;2;3.98;16832;;;;;
acts;MCA_48;2;0.49;1312;;;;;
acts;MCAC_6;2;8.41;715;;;;;
acts;NUMC_35;2;1.81;16;;;;;
acts;NUMC_32;2;0.63;247;;;;;
kali;BOOLC_0;2;2.16;13;;;;;
kali;BOOLC_1;2;2.12;16;;;;;
kali;BOOLC_10;2;2.07;7;;;;;
kali;BOOLC_11;2;2.02;2;;;;;
kali;BOOLC_12;2;2.0;4;;;;;
kali;BOOLC_13;2;2.08;7;;;;;
kali;BOOLC_14;2;2.18;6;;;;;
kali;BOOLC_15;2;2.17;26;;;;;
kali;BOOLC_16;2;2.2;2;;;;;
kali;BOOLC_17;2;2.26;24;;;;;
kali;BOOLC_18;2;2.14;1;;;;;
kali;BOOLC_19;2;2.41;36;;;;;
kali;BOOLC_2;2;2.14;3;;;;;
kali;BOOLC_20;2;2.21;18;;;;;
kali;BOOLC_21;2;2.13;3;;;;;
kali;BOOLC_22;2;2.26;13;;;;;
kali;BOOLC_23;2;2.06;1;;;;;
kali;BOOLC_24;2;2.04;4;;;;;
kali;BOOLC_25;2;2.15;4;;;;;
kali;BOOLC_26;2;2.16;4;;;;;
kali;BOOLC_27;2;2.1;14;;;;;
kali;BOOLC_28;2;2.22;22;;;;;
kali;BOOLC_29;2;2.14;9;;;;;
kali;BOOLC_3;2;2.12;14;;;;;
kali;BOOLC_30;2;2.43;41;;;;;
kali;BOOLC_31;2;2.18;5;;;;;
kali;BOOLC_32;2;2.12;12;;;;;
kali;BOOLC_33;2;2.14;7;;;;;
kali;BOOLC_34;2;2.24;24;;;;;
