FileName,Strength,SeedSize,UsedSeedSize,TSSize,TSTime,cRnd,cInc,totTuples
UNIFORM_ALL_0,4,80,80,204,30.0,22.0,8.0,2835
UNIFORM_ALL_0,4,81,80,203,29.0,21.0,8.0,2835
UNIFORM_ALL_0,4,82,79,206,37.0,22.0,8.0,2835
UNIFORM_ALL_0,4,83,80,193,35.0,23.0,8.0,2835
UNIFORM_ALL_0,4,84,82,200,31.0,22.0,8.0,2835
UNIFORM_ALL_0,4,85,83,200,36.0,22.0,8.0,2835
UNIFORM_ALL_0,4,86,83,199,31.0,22.0,8.0,2835
UNIFORM_ALL_0,4,87,86,203,32.0,21.0,8.0,2835
UNIFORM_ALL_0,4,88,85,203,34.0,22.0,7.0,2835
UNIFORM_ALL_0,4,89,89,204,31.0,21.0,7.0,2835
UNIFORM_ALL_0,4,90,90,206,32.0,20.0,8.0,2835
UNIFORM_ALL_0,4,91,90,202,35.0,21.0,8.0,2835
UNIFORM_ALL_0,4,92,90,209,75.0,21.0,7.0,2835
UNIFORM_ALL_0,4,93,91,204,32.0,21.0,7.0,2835
UNIFORM_ALL_0,4,94,93,207,32.0,21.0,7.0,2835
UNIFORM_ALL_0,4,95,94,204,32.0,21.0,7.0,2835
UNIFORM_ALL_0,4,96,93,202,51.0,21.0,8.0,2835
UNIFORM_ALL_0,4,97,96,202,39.0,20.0,7.0,2835
UNIFORM_ALL_0,4,98,96,207,32.0,20.0,7.0,2835
UNIFORM_ALL_0,4,99,94,210,44.0,20.0,7.0,2835
UNIFORM_ALL_0,4,100,99,210,35.0,20.0,7.0,2835
UNIFORM_ALL_0,4,101,97,201,38.0,20.0,8.0,2835
UNIFORM_ALL_0,4,102,100,198,34.0,21.0,7.0,2835
UNIFORM_ALL_0,4,103,100,208,37.0,19.0,7.0,2835
UNIFORM_ALL_0,4,104,102,202,33.0,20.0,7.0,2835
UNIFORM_ALL_0,4,105,103,211,40.0,19.0,7.0,2835
UNIFORM_ALL_0,4,106,105,203,37.0,19.0,7.0,2835
UNIFORM_ALL_0,4,107,104,205,34.0,19.0,7.0,2835
UNIFORM_ALL_0,4,108,104,208,36.0,20.0,7.0,2835
UNIFORM_ALL_0,4,109,107,210,32.0,19.0,6.0,2835
UNIFORM_ALL_0,4,110,105,202,33.0,19.0,7.0,2835
UNIFORM_ALL_0,4,111,110,212,34.0,19.0,7.0,2835
UNIFORM_ALL_0,4,112,109,204,34.0,20.0,6.0,2835
UNIFORM_ALL_0,4,113,109,213,38.0,18.0,7.0,2835
UNIFORM_ALL_0,4,114,109,212,36.0,19.0,6.0,2835
UNIFORM_ALL_0,4,115,110,207,34.0,19.0,7.0,2835
UNIFORM_ALL_0,4,116,115,207,33.0,19.0,6.0,2835
UNIFORM_ALL_0,4,117,116,208,33.0,18.0,7.0,2835
UNIFORM_ALL_0,4,118,110,211,39.0,19.0,7.0,2835
UNIFORM_ALL_0,4,119,116,207,31.0,18.0,7.0,2835
UNIFORM_ALL_0,4,120,116,219,36.0,18.0,6.0,2835
UNIFORM_ALL_0,4,121,119,213,33.0,18.0,6.0,2835
UNIFORM_ALL_0,4,122,119,217,38.0,18.0,6.0,2835
UNIFORM_ALL_0,4,123,121,214,32.0,17.0,7.0,2835
UNIFORM_ALL_0,4,124,119,213,30.0,18.0,6.0,2835
UNIFORM_ALL_0,4,125,119,210,34.0,18.0,6.0,2835
UNIFORM_ALL_0,4,126,125,218,34.0,18.0,6.0,2835
UNIFORM_ALL_0,4,127,122,206,35.0,18.0,6.0,2835
UNIFORM_ALL_0,4,128,126,212,34.0,17.0,6.0,2835
UNIFORM_ALL_0,4,129,127,211,33.0,18.0,6.0,2835
UNIFORM_ALL_0,4,130,127,212,34.0,17.0,6.0,2835
UNIFORM_ALL_0,4,131,128,216,36.0,17.0,6.0,2835
